谷歌地图纬度  谷歌地图经度    城市
 39.084158     117.200983     Tientsin
 38.6967689    -90.390486     Lackland
 50.4501       30.5234        Kiev
 38.9433333    72.0166666     USSR
 42.6525793    -73.7562317    Albany
 33.5373926    -99.2785583    Baylor
 51.0443116    -0.3630888     Christ's Hospital
 46.816666     1.7            CHR(CHATEAUROUX)
 -17.713371    178.065032     Fiji
 -40.900557    174.885971     New Zealand
 -21.178986    -175.198242    Tonga
 46.862496     103.846656     Mongolia
 22.543099     114.057868     Shengzhen
 43.318809     11.3307574     Siena
 23.69781      120.960515     Taiwan
 49.8209226    18.2625243     Ostrava
 34.7594526    135.51686      Suita
 -31.2532183   146.921099     New South Wales
 -45.8787605   170.5027976    Dunedin
 -42.4064185   171.6911559    West Coast
 51.280233     1.0789089      South Canterbury
 22.396428     114.109497     HongKong
 40.817498     111.765618     Neimenggu
 -43.5320544   172.6362254    Christchurch
 51.280233     1.0789089      Canterbury
 53.0792962    8.8016937      Bremen
 50.6520515    9.1624376      Hessen
 51.4332367    7.6615938      Nordrhein-Westfalen
 51.1045407    13.2017384     Sachsen
 51.0109892    10.845346      Thueringen
 38.080978     46.290119      Tabriz
 39.702053     141.1544838    Morioka
 -36.8484597   174.7633315    Auckland
 -27.6728168   121.6283098    Western Australia
 -44.8280041   169.6345253    Otago
 -38.0594263   175.4375574    Waikato
 -41.2864603   174.776236     Wellington
 48.6616037    9.3501336      Baden-Wuerttemberg
 52.6367036    9.8450765      Niedersachsen
 50.118346     7.3089527      Rheinland-Pfalz
 31.89661      54.36068       Yazd
 35.7038732    51.3481131     Azarbayejan_Sharghi/Azarbayejan-Sharghi(伊朗德黑兰)： 找不到伊朗具体的叫Sharghi地方    
 38.4764432    47.0829842     Gholestan
 35.6950491    51.394678      Khozestan
 21.0333333    105.85         Hanoi
 10.8230989    106.6296638    HoChiMinh
 36.096021     114.323689     LongAn
 12.083802     107.7850886    TayNguyen
 -9.64571      160.156194     Solomon Islands
 -9.189967     -75.015152     Peru
 47.9495324    21.7244053     Nyiregyhaza
 43.9653889    109.1773459    Dornogobi
 34.8          48.5166667     Hamedan
 32.5175643    59.1041758     Khorasan-Jonoobi
 36.2262393    52.5318604     Mazandaran
 35.1495343    -90.0489801    Memphis
 32.3546679    -89.3985283    Mississippi
 32.65139      51.679192      Esfahan
 6.235925      -75.575137     Medellin
 -37.4713077   144.7851531    Victoria
 -26.2041028   28.0473051     Johannesburg
 11.3675415    106.1192802    TayNinh
 21.0333333    105.85         HaNoi
 20.4463471    106.3365828    ThaiBinh
 -13.525       -71.9722222    Cusco
 -20.904305    165.618042     New Caledonia
 12.2387911    109.1967488    KhanhHoa
 36.9741171    -122.0307963   Santa Cruz
 16.051571     108.214897     DaNang
 48.50973      135.072501     Habarovsk
 49.412222     7.572222       Landstuhl
 53.712524     91.420606      Abakan
 58.536742     31.271227      Novgorod
 35.5309058    139.7030511    Kawasaki
 43.255058     76.912628      Almati
 49.0145423    12.1008559     Regensburg
 34.7337339    135.4063757    Amagasaki
 66.5333333    66.6           Salekhard
 56.839196     60.62595       Ekaterinburg
 52.290345     104.255253     Irkutsk
 48.7904472    11.4978895     Germany-BY(Bayern)
 39.084158     117.200983     Tianjin
 35.907757     127.766922     South Korea
 35.1795543    129.0756416    Busan
 35.0116363    135.7680294    Kyoto
 -8.3833333    -74.55         Pucallpa
 43.0759678    -107.2902839   Wyoming
 -4.9          -80.6833333    Sullana
 33.223191     43.679291      Iraq
 31.046051     34.851612      Israel
 53.7266683    -127.6476206   British Columbia
 56.130366     -106.346771    Canada
 29.4241219    -98.4936282    San Antonio
 41.8780025    -93.097702     Iowa
 39.011902     -98.4842465    Kansas
 34.5199402    -105.8700901   New Mexico
 41.4925374    -99.9018131    Nebraska
 51.253775     -85.3232139    Canada-ON(Ontario)
 32.3182314    -86.902298     Alabama
 43.1938516    -71.5723953    New Hampshire
 35.7595731    -79.0192997    North Carolina
 44.0682019    -114.7420408   Idaho
 38.9108325    -75.5276699    Delaware
 41.5911589    1.5208624      Catalonia
 40.2671941    -86.1349019    Indiana
 38.8026097    -116.419389    Nevada
 43.8041334    -120.5542012   Oregon
 48.7904472    11.4978895     Bayern
 32.9786566    -115.530267    Brawley
 35.5174913    -86.5804473    Tennessee
 46.729553     -94.6858998    Minnesota
 44.6819866    -63.744311     Canada-NS(Nova Scotia)
 -30.0002315   136.2091547    South Australia
 64.2008413    -149.4936733   Alaska
 13.9235362    100.3947116    Nonthaburi
 35.0077519    -97.092877     Oklahoma
 31.2448234    -92.1450245    Louisiana
 53.9332706    -116.5765035   Canada-AB(Alberta)
 37.6270807    -76.4024468    Cherry Point
 44.5588028    -72.5778415    Vermont
 52.1313922    13.2162494     Brandenburg
 46.8796822    -110.3625658   Montana
 44.3148443    -85.6023643    Michigan
 43.9695148    -99.9018131    South Dakota
 40.4172871    -82.907123     Ohio
 48.583148     7.747882       Strasbourg
 51.9502649    11.6922735     Sachsen-Anhalt
 42.4072107    -71.3824374    Massachusetts
 35.20105      -91.8318334    Arkansas
 52.9399159    -73.5491361    Canada-PQ(Quebec魁北克市)：下面的Canada-QC(Quebec)是加拿大的魁北克市，找Canada-PQ地图上也是按魁北克市查找的
 52.9399159    -73.5491361    Canada-QC(Quebec)
 35.7766076    140.3187806    Narita
 45.253783     -69.4454689    Maine
 30.651652     104.075931     Sichuan
 36.668627     117.020411     Shandong
 47.5514926    -101.0020119   North Dakota
 34.6937378    135.5021651    Osaka(大阪市)
 34.6937378    135.5021651    Osaka-C(大阪府大阪市北区)：后边的-c找不见具体是哪个地方，地图上是按Osaka的位置给出的经纬度
 34.6912688    135.1830706    Hyogo
 23.129163     113.264435     GuangzhouSB(广州市越秀区府前路)：后边的SB找不见具体是哪个地方，地图上是按Guangzhou的位置给出的经纬度
 23.129163     113.264435     Guangzhou
 34.815149     134.6853528    Himeji
 34.0489281    -111.0937311   Arizona
 45.4654542    9.186516       Milan
 10.73608      -2.036828      Sakai
 26.099933     119.296506     Fujian
 48.113475     -1.675708      Rennes
 38.5976262    -80.4549026    West Virginia
 34.975562     138.3827596    Shizuoka-C(日本静冈市静冈县葵区)：下边这几个标汉字的日本地方，都是后边的-c找不见具体是哪个地方，地图上是按-c前边大地方的位置给出的经纬度
 33.5903547    130.4017155    Fukuoka-C(日本福冈县福冈市中央区)：
 35.6072668    140.1062907    Chiba-C(日本千叶县千叶市中央区)：
 35.4232984    136.7606537    Gifu-C(日本岐阜县岐阜市)：
 35.0877672    -77.0564464    Craven
 -12.6818712   -56.921099     Mato Grosso
 53.7608608    -98.8138763    Canada-MB(Manitoba)
 59.32893      18.06491       Stockholm
 41.5800945    -71.4774291    Rhode Island
 49.815273     6.129583       Luxembourg
 41.2033216    -77.1945247    Pennsylvania
 49.182863     -0.370679      Caen
 48.856614     2.3522219      Paris
 25.9017472    -97.4974838    Brownsville
 48.6616037    9.3501336      Baden-Wurttemberg
 53.41291      -8.24389       Ireland
 43.7710332    11.2480006     Firenze
 35.0045306    135.8685899    Shiga
 56.26392      9.501785       Denmark
 35.4437078    139.6380256    Yokohama
 -26.928572    -49.3653149    Santa Catarina
 -24.7922331   -50.0116841    Castro
 39.7200079    140.1025642    Akita
 43.0620958    141.3543763    Sapporo
 31.5965535    130.5571158    Kagoshima
 28.112444     112.98381      Hunan
 35.108493     -77.0441143    New Bern
 34.975562     138.3827596    Shizuoka
 35.1801883    136.9065647    Aichi
 36.5551124    139.8828072    Utsunomiya
 39.7036194    141.1526839    Iwate
 35.4475073    139.6423446    Kanagawa
 38.9906657    -77.026088     Silver Spring
 -41.4717      -72.9369       Puerto Montt
 52.9399159    -106.4508639   Saskatchewan
 -16.4990099   -68.146248     La Paz
 37.7608337    140.4747282    Fukushima
 -8.112        -79.0288       Trujillo
 28.228209     112.938814     Changsha
 35.8617292    139.6454822    Saitama
 -13.133897    27.849332      Zambia
