谷歌地图纬度   谷歌地图经度     城市
 -19.4914108    132.5509603    Northern Territory
 35.1801883     136.9065647    Aichi
 17.4294081     102.989615     udorn/Udorn(Russia Udorn)：找不见俄罗斯的Udorn，泰国乌隆的经纬度
 31.550932      109.457695     Guandong
 -45.8158966    170.6213504    Port Chalmers
 42.6525793     -73.7562317    Albany
 13.7522222     100.4938889    Bangkok
 52.134368      5.208818       Bilthoven
 51.23622       -0.570409      Guildford
 60.0793208     31.8926644     Leningrad
 30.651652      104.075931     Sichuan
 52.519171      13.4060912     Berlin
 51.7563108     14.3328679     Cottbus
 51.441642      5.4697225      Eindhoven
 33.7489954     -84.3879824    Atlanta
 31.230393      121.473704     Shanghai
 34.7594526     135.51686      Suita
 -35.2819998    149.1286843    Canberra
 55.378051      -3.435973      United Kingdom
 51.5862949     5.0791272      Tilburg
 43.3619145     -5.8493887     Oviedo
 52.3702157     4.8951679      Amsterdam
 38.268215      140.8693558    Sendai
 39.90403       116.407526     Beijing
 45.803775      126.534967     Harbin
 51.924216      4.481776       Rotterdam
 51.842867      5.854622       Nijmegen
 29.7601927     -95.3693896    Houston
 63.8258471     20.2630354     Umea
 35.0045306     135.8685899    Shiga
 39.7200079     140.1025642    Akita
 52.2215372     6.8936619      Enschede
 40.4167754     -3.7037902     Madrid
 29.598864      121.045272     Shangdong
 38.2554388     140.3396017    Yamagata
 -30.0002315    136.2091547    South Austalia
 28.68316       115.858089     Nanchang
 59.32893       18.06491       Stockholm
 30.593099      114.305393     Wuhan
 46.1983922     6.1422961      Geneva
 -30.559482     22.937506      South Africa
 45.764043      4.835659       Lyon
 43.696036      7.265592       Nice
 48.856614      2.3522219      Paris
 59.9138688     10.7522454     Oslo
 43.318809      11.3307574     Siena
 -26.2041028    28.0473051     Johannesburg
 32.7502856     129.877667     Nagasaki
 46.818188      8.227512       Switzerland
 8.537981       -80.782127     Panama
 -31.2532183    146.921099     New South Wales
 51.836725      107.585865     Ulan Ude
 -41.9329995    172.820974     Nelson Marlborough
 48.5478816     13.6322062     Hutt
 -42.4064185    171.6911559    West Coast
 35.4437078     139.6380256    Yokohama
 26.099933      119.296506     Fujian
 20.7098786     -89.0943377    Yucatan
 -45.8787605    170.5027976    Dunedin
 51.280233      1.0789089      South Canterbury
 44.4056499     8.946256       Genoa
 56.4906712     -4.2026458     Scotland
 6.9270786      79.861243      Colombo
 60.472024      8.468946       Norway
 23.69781       120.960515     TW/Taiwan
 34.6912688     135.1830706    Hyogo
 20.42          106.1683333    NamDinh
 21.3014947     106.6291304    BacGiang
 21.0333333     105.85         Hanoi
 -39.9300887    175.0478901    Whanganui
 -40.0397221    175.1763854    Tairawhiti
 -43.9083813    171.7485672    Ashburton
 -37.6825027    176.1880232    Bay of Plenty
 -43.5320544    172.6362254    Christchurch
 -30.0002315    136.2091547    South Australia
 34.3852029     132.4552927    Hiroshima
 -45.8489159    167.6755387    Southland
 -20.9175738    142.7027956    Queensland
 -41.2864603    174.776236     Wellington
 -44.8280041    169.6345253    Otago
 51.280233      1.0789089      Canterbury
 -38.0594263    175.4375574    Waikato
 -36.8484597    174.7633315    Auckland
 -27.6728168    121.6283098    Western Australia
 39.702053      141.1544838    Morioka
 48.2081743     16.3738189     Vienna
 28.394857      84.124008      Nepal
 35.6894875     139.6917064    Tokyo
 -9.189967      -75.015152     Peru
 20.636589      106.056999     HungYen
 21.183901      106.056        BacNinh
 38.9108325     -75.5276699    Delaware
 37.5392646     127.2148919    HaNam
 -32.522779     -55.765835     Uruguay
